timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727362711292,686,Additem,500,Internal Server Error,SmartStorage Users 1-8,text,false,,325,2271,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,685,0,472
1727362711989,395,EditItem,401,Unauthorized,SmartStorage Users 1-8,text,false,,299,6556,10,10,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,395,0,0
1727362711689,998,Additem,500,Internal Server Error,SmartStorage Users 1-9,text,false,,325,2271,11,11,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,998,0,694
1727362712395,292,GetAllUnits,500,Internal Server Error,SmartStorage Users 1-8,text,false,,325,3324,11,11,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/GetAllUnits,292,0,0
1727362712693,210,FetchByEmail,401,Unauthorized,SmartStorage Users 1-8,text,false,,299,3388,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,210,0,0
1727362712697,209,EditItem,401,Unauthorized,SmartStorage Users 1-9,text,false,,299,6556,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,208,0,0
1727362712083,825,Additem,500,Internal Server Error,SmartStorage Users 1-10,text,false,,325,2271,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,825,0,606
1727362712482,718,Additem,500,Internal Server Error,SmartStorage Users 1-11,text,false,,325,2271,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,718,0,424
1727362712918,282,EditItem,401,Unauthorized,SmartStorage Users 1-10,text,false,,299,6556,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,282,0,0
1727362712905,295,FetchCategory,401,Unauthorized,SmartStorage Users 1-8,text,false,,299,3379,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,295,0,0
1727362712908,292,GetAllUnits,500,Internal Server Error,SmartStorage Users 1-9,text,false,,325,3324,12,12,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/GetAllUnits,292,0,0
1727362713210,296,GetAllUnits,500,Internal Server Error,SmartStorage Users 1-10,text,false,,325,3324,13,13,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/GetAllUnits,296,0,0
1727362713207,299,EditItem,401,Unauthorized,SmartStorage Users 1-11,text,false,,299,6556,13,13,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,299,0,0
1727362713213,293,FetchByEmail,401,Unauthorized,SmartStorage Users 1-9,text,false,,299,3388,13,13,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,293,0,0
1727362713211,295,RecommendCategory,500,Internal Server Error,SmartStorage Users 1-8,text,false,,325,1925,13,13,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecommendCategory,295,0,0
1727362713511,199,FetchByEmail,401,Unauthorized,SmartStorage Users 1-10,text,false,,299,3388,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,199,0,0
1727362713519,200,FetchCategory,401,Unauthorized,SmartStorage Users 1-9,text,false,,299,3379,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,200,0,0
1727362712877,842,Additem,500,Internal Server Error,SmartStorage Users 1-12,text,false,,325,2271,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,842,0,631
1727362713517,215,GetAllUnits,500,Internal Server Error,SmartStorage Users 1-11,text,false,,325,3324,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/GetAllUnits,215,0,0
1727362713520,223,CategoryFilter,500,Internal Server Error,SmartStorage Users 1-8,text,false,,325,1909,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/CategoryFilter,223,0,0
1727362713714,203,FetchCategory,401,Unauthorized,SmartStorage Users 1-10,text,false,,299,3379,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,203,0,0
1727362713290,633,Additem,500,Internal Server Error,SmartStorage Users 1-13,text,false,,325,2271,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,633,0,422
1727362713724,203,EditItem,401,Unauthorized,SmartStorage Users 1-12,text,false,,299,6556,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,203,0,0
1727362713738,201,FetchByEmail,401,Unauthorized,SmartStorage Users 1-11,text,false,,299,3388,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,201,0,0
1727362713732,229,RecommendCategory,500,Internal Server Error,SmartStorage Users 1-9,text,false,,325,1925,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecommendCategory,229,0,0
1727362713749,223,FetchAll,500,Internal Server Error,SmartStorage Users 1-8,text,false,,325,1857,14,14,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchAll,223,0,0
1727362713925,298,RecommendCategory,500,Internal Server Error,SmartStorage Users 1-10,text,false,,325,1925,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecommendCategory,298,0,0
1727362713937,286,GetAllUnits,500,Internal Server Error,SmartStorage Users 1-12,text,false,,325,3324,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/GetAllUnits,286,0,0
1727362713949,274,FetchCategory,401,Unauthorized,SmartStorage Users 1-11,text,false,,299,3379,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,274,0,0
1727362713928,295,EditItem,401,Unauthorized,SmartStorage Users 1-13,text,false,,299,6556,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/EditItem,295,0,0
1727362713969,255,CategoryFilter,500,Internal Server Error,SmartStorage Users 1-9,text,false,,325,1909,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/CategoryFilter,255,0,0
1727362713976,248,getUserRoles,401,Unauthorized,SmartStorage Users 1-8,text,false,,299,4802,15,15,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/getUserRoles/,248,0,0
