timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727360475055,1021,FetchByEmail,200,OK,SmartStorage Users 1-1,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1021,0,614
1727360475462,819,FetchByEmail,200,OK,SmartStorage Users 1-2,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,819,0,423
1727360475869,724,FetchByEmail,200,OK,SmartStorage Users 1-3,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,724,0,424
1727360476279,1030,FetchByEmail,200,OK,SmartStorage Users 1-4,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1030,0,619
1727360476665,742,FetchByEmail,200,OK,SmartStorage Users 1-5,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,742,0,439
1727360477069,862,FetchByEmail,200,OK,SmartStorage Users 1-6,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,862,0,546
1727360477458,818,FetchByEmail,200,OK,SmartStorage Users 1-7,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,818,0,475
1727360477856,823,FetchByEmail,200,OK,SmartStorage Users 1-8,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,823,0,477
1727360478263,895,FetchByEmail,200,OK,SmartStorage Users 1-9,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,895,0,586
1727360478664,742,FetchByEmail,200,OK,SmartStorage Users 1-10,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,742,0,418
1727360479066,885,FetchByEmail,200,OK,SmartStorage Users 1-11,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,885,0,598
1727360479466,818,FetchByEmail,200,OK,SmartStorage Users 1-12,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,818,0,505
1727360479860,1029,FetchByEmail,200,OK,SmartStorage Users 1-13,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1029,0,622
1727360480256,736,FetchByEmail,200,OK,SmartStorage Users 1-14,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,736,0,433
1727360480662,739,FetchByEmail,200,OK,SmartStorage Users 1-15,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,739,0,433
1727360481066,842,FetchByEmail,200,OK,SmartStorage Users 1-16,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,842,0,543
1727360481456,825,FetchByEmail,200,OK,SmartStorage Users 1-17,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,825,0,460
1727360481866,867,FetchByEmail,200,OK,SmartStorage Users 1-18,text,true,,4188,1924,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,867,0,562
1727360482259,883,FetchByEmail,200,OK,SmartStorage Users 1-19,text,true,,4188,1924,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,883,0,476
1727360482657,896,FetchByEmail,200,OK,SmartStorage Users 1-20,text,true,,4188,1924,1,1,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,895,0,488
