timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727362320586,1535,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-1,text,true,,418,1881,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,1535,0,437
1727362320801,1377,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-2,text,true,,418,1881,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,1377,0,420
1727362321380,840,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-5,text,true,,418,1881,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,840,0,541
1727362321593,845,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-6,text,true,,418,1881,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,845,0,535
1727362321002,1572,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-3,text,true,,418,1881,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,1572,0,502
1727362321186,1394,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-4,text,true,,418,1881,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,1394,0,422
1727362321782,950,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-7,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,950,0,628
1727362321984,748,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-8,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,748,0,429
1727362322189,749,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-9,text,true,,418,1881,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,749,0,424
1727362322391,847,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-10,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,847,0,549
1727362322598,852,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-11,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,852,0,565
1727362322805,933,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-12,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,933,0,607
1727362323001,737,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-13,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,737,0,449
1727362323205,718,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-14,text,true,,418,1881,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,718,0,414
1727362323396,771,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-15,text,true,,418,1881,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,771,0,464
1727362323602,858,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-16,text,true,,418,1881,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,858,0,571
1727362323780,708,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-17,text,true,,418,1881,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,708,0,417
1727362323974,715,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-18,text,true,,418,1881,3,3,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,715,0,428
1727362324191,803,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-19,text,true,,418,1881,2,2,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,803,0,493
1727362324386,906,reports_getTotalItemsUnderAllParentCategories,200,OK,SmartStorage Users 1-20,text,true,,418,1881,1,1,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/reports_getTotalItemsUnderAllParentCategories,906,0,625
