timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727364764114,1371,Additem,200,OK,SmartStorage Users 1-1,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1371,0,447
1727364764340,1355,Additem,200,OK,SmartStorage Users 1-2,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1355,0,463
1727364764568,1340,Additem,200,OK,SmartStorage Users 1-3,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1340,0,463
1727364764789,1367,Additem,200,OK,SmartStorage Users 1-4,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1367,0,469
1727364765015,1365,Additem,200,OK,SmartStorage Users 1-5,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1365,0,468
1727364765242,1380,Additem,200,OK,SmartStorage Users 1-6,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1380,0,448
1727364765464,1348,Additem,200,OK,SmartStorage Users 1-7,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1348,0,428
1727364765686,1345,Additem,200,OK,SmartStorage Users 1-8,text,true,,569,2271,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1345,0,472
1727364765912,1309,Additem,200,OK,SmartStorage Users 1-9,text,true,,569,2271,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1309,0,471
1727364766142,1363,Additem,200,OK,SmartStorage Users 1-10,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1363,0,470
1727364766366,1365,Additem,200,OK,SmartStorage Users 1-11,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1365,0,456
1727364766606,1334,Additem,200,OK,SmartStorage Users 1-12,text,true,,569,2271,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1334,0,413
1727364766817,1326,Additem,200,OK,SmartStorage Users 1-13,text,true,,569,2271,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/AddItem,1326,0,407
