timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727365265650,1459,FetchByEmail,200,OK,SmartStorage Users 1-1,text,true,,4188,1924,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1459,0,432
1727365265861,1401,FetchByEmail,200,OK,SmartStorage Users 1-2,text,true,,4188,1924,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1401,0,432
1727365266461,801,FetchByEmail,200,OK,SmartStorage Users 1-5,text,true,,4188,1924,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,801,0,419
1727365266658,808,FetchByEmail,200,OK,SmartStorage Users 1-6,text,true,,4188,1924,7,7,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,808,0,415
1727365266059,1424,FetchByEmail,200,OK,SmartStorage Users 1-3,text,true,,4188,1924,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1424,0,439
1727365266856,809,FetchByEmail,200,OK,SmartStorage Users 1-7,text,true,,4188,1924,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,809,0,415
1727365266279,1386,FetchByEmail,200,OK,SmartStorage Users 1-4,text,true,,4188,1924,6,6,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,1386,0,470
1727365267060,774,FetchByEmail,200,OK,SmartStorage Users 1-8,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,774,0,435
1727365267255,825,FetchByEmail,200,OK,SmartStorage Users 1-9,text,true,,4188,1924,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,825,0,521
1727365267461,811,FetchByEmail,200,OK,SmartStorage Users 1-10,text,true,,4188,1924,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,811,0,414
1727365267652,814,FetchByEmail,200,OK,SmartStorage Users 1-11,text,true,,4188,1924,5,5,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,814,0,424
1727365267858,733,FetchByEmail,200,OK,SmartStorage Users 1-12,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,733,0,418
1727365268059,737,FetchByEmail,200,OK,SmartStorage Users 1-13,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,737,0,430
1727365268261,739,FetchByEmail,200,OK,SmartStorage Users 1-14,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,739,0,413
1727365268448,758,FetchByEmail,200,OK,SmartStorage Users 1-15,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,758,0,429
1727365268657,754,FetchByEmail,200,OK,SmartStorage Users 1-16,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,754,0,413
1727365268849,767,FetchByEmail,200,OK,SmartStorage Users 1-17,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,767,0,422
1727365269055,765,FetchByEmail,200,OK,SmartStorage Users 1-18,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,765,0,416
1727365269252,773,FetchByEmail,200,OK,SmartStorage Users 1-19,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,773,0,420
1727365269454,770,FetchByEmail,200,OK,SmartStorage Users 1-20,text,true,,4188,1924,4,4,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/RecentlyAdded,770,0,415
