timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727365371733,789,FetchCategory,200,OK,SmartStorage Users 1-1,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,789,0,493
1727365371829,796,FetchCategory,200,OK,SmartStorage Users 1-2,text,true,,3114,1915,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,796,0,501
1727365371934,719,FetchCategory,200,OK,SmartStorage Users 1-3,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,719,0,425
1727365372036,805,FetchCategory,200,OK,SmartStorage Users 1-4,text,true,,3114,1915,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,805,0,500
1727365372130,777,FetchCategory,200,OK,SmartStorage Users 1-5,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,777,0,461
1727365372227,721,FetchCategory,200,OK,SmartStorage Users 1-6,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,721,0,428
1727365372332,725,FetchCategory,200,OK,SmartStorage Users 1-7,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,725,0,408
1727365372431,826,FetchCategory,200,OK,SmartStorage Users 1-8,text,true,,3114,1915,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,826,0,420
1727365372527,735,FetchCategory,200,OK,SmartStorage Users 1-9,text,true,,3114,1915,8,8,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,735,0,419
1727365372633,806,FetchCategory,200,OK,SmartStorage Users 1-10,text,true,,3114,1915,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,806,0,417
1727365372723,868,FetchCategory,200,OK,SmartStorage Users 1-11,text,true,,3114,1915,9,9,https://ueolonfa4j.execute-api.eu-north-1.amazonaws.com/testing/smartstorage/FetchCategory,868,0,537
